id,datetime,text,retweets
1232063656554307585,Mon Feb 24 22:04:01 +0000 2020,".@AmericanAir adds daily nonstop flight to California’s coast, citing ‘incredible’ interest https://t.co/ApyVJkSgYd",0
1232062604824252418,Mon Feb 24 21:59:50 +0000 2020,"#TMCFScholarship Alert! Seniors at risk of not graduating due to financial hardship must apply to our scholarship in partnership with @AmericanAir!

https://t.co/ArzuGa96Qa https://t.co/EUnEV6P7y8",5
1232060788535365637,Mon Feb 24 21:52:37 +0000 2020,#americanairlines. At gate 38 at dca for flight 1693. VERY rude gate agent.  Asked when flight making up this flight would arrive since it is not here and we are supposed to board in 20 minutes. She walked away!  Great customer service NOT,0
1232060611644751873,Mon Feb 24 21:51:55 +0000 2020,Just had the worst customer experience with @AmericanAir who wrongfully tried to charge us $$$$ after they canceled our flight. Ironically I received substantially better service - and a better deal through a budget carrier. Will never book @AmericanAir again!,0
1232059574817038336,Mon Feb 24 21:47:47 +0000 2020,10/10 do NOT recommend @AmericanAir!!!!! Thank you for making my first booking/flight a living hell.,0
1232059532936761344,Mon Feb 24 21:47:37 +0000 2020,Nothing like walking through the airport with damaged luggage. Thanks a lot @AmericanAir https://t.co/YvRPhs41hh,0
1232058368409378816,Mon Feb 24 21:43:00 +0000 2020,"Srsly, @AmericanAir? Denying the flight change request of an 18 yo female passenger, expressing sincere fear re: flying to &amp; SPENDING A WEEK ALONE IN an unfamilair city across the country, bc your policy says “‘nothing’ can be done.” Something can ALWAYS be done. Shame on you!",0
1232057662214463488,Mon Feb 24 21:40:11 +0000 2020,"Children 13 or under should sit with their #families while flying, and families shouldn't be charged extra fees to do so. Sign this #petition from @ConsumerReports and tell @AmericanAir, @Delta, and @United Airlines that enough is enough! https://t.co/NJYokoowSA",0
1232057601791332352,Mon Feb 24 21:39:57 +0000 2020,Hey @garyleff ever call @AmericanAir and ask to be put through to the survey after a lousy experience?  I have gotten transferred to an endless hold queue of “sales” everytime.  Good way to skew their metrics,0
1232055903685357570,Mon Feb 24 21:33:12 +0000 2020,The Two @AmericanAir airlines! the regular and American Eagle #planespotting https://t.co/OKuSPlTkqv,0
1232055486742245376,Mon Feb 24 21:31:33 +0000 2020,*movement* @AmericanAir will use the B787-9 on the @manairport to @PHLAirport tomorrow. First visit of a - 9 varient for American #manchester #Philadelphia #american #boeing,7
1232054878450733057,Mon Feb 24 21:29:08 +0000 2020,"#americanairlines .after today I promise I will never fly will your airline again. You treat customers with disrespect, your staff hate their job and your aircraft are old and dirty.",0
1232054461595557888,Mon Feb 24 21:27:28 +0000 2020,"Flight to San Antonio today.   Paid extra for exit row w/ more leg room.  Picked clearly on the seating chart. Unfortunately got no exit row, no extra leg room, no window and seat wouldn’t go back.  But charged an additional $38 per seat for it. @AmericanAir. We did get in early",0
1232053871008264192,Mon Feb 24 21:25:07 +0000 2020,"American Airlines (@AmericanAir) and Gol, Brazil’s largest airline, recently announced a new reciprocal codeshare agreement, giving customers access to 20 new destinations in South America.",0
1232052583981879296,Mon Feb 24 21:20:01 +0000 2020,Why is is that my friend and I were just talking about how great it is that we can convert our @HiltonHotels points to @AmericanAir points and now the very next day American Airlines wants to ruin my life and take it away. I’m pissed!!!!,1
1232052569951870976,Mon Feb 24 21:19:57 +0000 2020,"Clowns
I guess I shouldn’t of wore my #maga hat or #Trump shirt. She was very disrespectful to us. Shame on her. I can only imagine how she treats other that fly with your airlines.
.@AmericanAir I booked a flight to Washington DC from LAX this morning got to the gate 53A 1",0
1232052101045538817,Mon Feb 24 21:18:05 +0000 2020,Yo if anyone has any @AmericanAir miles they don’t want or are going to use help a sister out. We broke after student loans,0
1232049854026674176,Mon Feb 24 21:09:10 +0000 2020,"#WTFee! Demand @AmericanAir, @united @Delta put #SafetyOverProfits, seat children with parents at no additional cost. Sign @CRAdvocacy petition. https://t.co/2y8yXaJLD9",0
1232048816758689795,Mon Feb 24 21:05:02 +0000 2020,"been sitting on an @AmericanAir flight for awhile, crew is contemplating if it’s safe to fly because there was a ‘previous lightning strike to the right wing’ &amp; there is a chip in the wing. intercom said ‘their guess is it’s more than likely safe’ 😂&amp; missing our connection... 👀",3
1232048170726760449,Mon Feb 24 21:02:28 +0000 2020,"Of course @AmericanAir , it could be that your customer service satisfaction levels are so low that these hotels are not willing to sacrifice their reputations ...on yours!
@RealJamesWoods @realDonaldTrump @marklevinshow @greggutfeld @ASavageNation @rushlimbaugh @TuckerCarlson https://t.co/1zqK6dp2vy",0
1232047581968175106,Mon Feb 24 21:00:08 +0000 2020,"If you’re wondering what happened to your grandma’s tv, @AmericanAir still has them hanging from the ceiling. https://t.co/zxgGTA36oz",0
1232047406533038080,Mon Feb 24 20:59:26 +0000 2020,Another new cost cutting effort on @AmericanAir’s part: reminding passengers that the free headsets can be re-used on future flights. They’re right but the tone wasn’t fantastic.,0
1232047101732904960,Mon Feb 24 20:58:14 +0000 2020,"If I wasn't out of breathe from running, I may have kicked something. You really are horrible at guest relations @AmericanAir. Really could of used @BarstoolBigCat on this one today. https://t.co/J0D2nv7cmb",1
1232046325736386563,Mon Feb 24 20:55:09 +0000 2020,it’s 3pm. @AmericanAir https://t.co/mfSAbOGdwv,0
1232045786298568705,Mon Feb 24 20:53:00 +0000 2020,Will never fly @AmericanAir again. Our flight have been delayed 3 times...they booked us an impossible connection. We ran to the gate only to have the door shut on us. Now stuck in NC for 5hrs...,1
1232045595193303040,Mon Feb 24 20:52:14 +0000 2020,"Press Release: American Airlines Announces Additional Service from the Monterey Regional Airport to Dallas-Fort Worth #MRY #pressrelease 

@AmericanAir
@DFWAirport",1
1232045565413904392,Mon Feb 24 20:52:07 +0000 2020,"🚨Sign our petition to @AmericanAir, @Delta, and @united: Kids should sit with their parents! #SafetyOverProfits #WTFee https://t.co/H11DTlXFl9",8
1232045511663931393,Mon Feb 24 20:51:54 +0000 2020,"We just landed in Philly and our @AmericanAir Flight Attendant said the weather is “60 degrees Celsius”.

WHAT THE HELL DID I MISS WHILE IN THE AIR? https://t.co/FVy6SKWeUc",3
1232044453059276801,Mon Feb 24 20:47:42 +0000 2020,"This is the last time I will EVER fly with @AmericanAir 

I will walk before they ever get another dime from me",0
1232043017353277440,Mon Feb 24 20:42:00 +0000 2020,"""The Open Skies agreement between the U.S. and Canada was a landmark treaty” - @AmericanAir director @sippean on treaty signed 25 years ago today. From @Westernaviatio1 #aviation #avgeek 

The story : https://t.co/8x2iK3nHev https://t.co/GIArZmvwvz",0
1232042479089803264,Mon Feb 24 20:39:51 +0000 2020,"On Tuesday, @SiouxGatewayAir going to see an upgrade from @AmericanAir on the DFW route—an Embraer 175 instead of the typical ERJ. Looks like a one-time substitution. https://t.co/Xsiw9Rl575",0
1232041804830269446,Mon Feb 24 20:37:11 +0000 2020,"Captain Brook Hammond is one of the reasons I fly with @AmericanAir. He is true class. A former USAF pilot, he personally greeted passengers upon boarding (our group with a business card@to reach him directly), and shaking hands with every passenger at disembarkation! Great guy!",0
1232040964967018496,Mon Feb 24 20:33:50 +0000 2020,"After 'incredible' response, @AmericanAir adds more flying from DFW to small California city https://t.co/QNcZDqIlZI via @DallasBizNews @montereyairport $AAL",2
1232038891957260288,Mon Feb 24 20:25:36 +0000 2020,"Hey @AlaskaAir, with the great news coming from the announcement with @AmericanAir, I'm curious if the Alaska miles earned on American will count toward Alaska's Million Miler status?",0
1232038380357193729,Mon Feb 24 20:23:34 +0000 2020,"Been a week now @AmericanAir Amazing that NO ONE that monitors this page has even acknowledged my tweets, they seriously DO NOT CARE about customer service. They have literally stolen $132 from me. https://t.co/oGSBytwqKp",0
1232037986486763520,Mon Feb 24 20:22:00 +0000 2020,#AlaskaAirlines #Boeing737900ER departing @FLLFlyer last week to #LosAngeles #LAX! Route will soon be removed by #Alaska as they are expanding their partnership with #AmericanAirlines and are to join @traveloneworld N413AS (FIN 413) (7.0 yrs) https://t.co/Yu9DUFaY3b,0
1232037922209181697,Mon Feb 24 20:21:45 +0000 2020,"Grossly disappointed with the air travel portion of my trip to Berlin. First delayed out of DCA to MIA on @AmericanAir, missing connections and extremely delayed baggage. Now on a delayed @British_Airways flight to Chicago and going to miss our connection home. Extreme lack of CS",1
1232037186415013888,Mon Feb 24 20:18:50 +0000 2020,"#WTFee! Demand @AmericanAir, @united @Delta put #SafetyOverProfits, seat children with parents at no additional cost. Sign @CRAdvocacy petition. https://t.co/AxAetB9fQC",0
1232036648877252609,Mon Feb 24 20:16:41 +0000 2020,Made the earlier flight. Even best out a CK to get a seat. Just didn’t realize it would be last row on an Oasis config. Winning? 🤷‍♂️ #viewfromthewing #executiveplatinum @AmericanAir https://t.co/NfbOAdRQ7X,0
1232036315203502080,Mon Feb 24 20:15:22 +0000 2020,"Terrible flight
Please contact me @AmericanAir",0
1232035392267964422,Mon Feb 24 20:11:42 +0000 2020,(2 of 2) I was told by @Americanair There is no way to communicate with the baggage office at airport!  I explained urgency w/medication and support items but no one seems to care!  American airlines shame on you...#DoBetter HELP FIND BAG! #CustomerService,0
1232035086788251648,Mon Feb 24 20:10:29 +0000 2020,Hey @AmericanAir! The FA crew in coach for AA729 Heathrow to PHL really took care of me! My BA flight was delayed and I was rebooked on AA coach economy so I could get home! Let the bosses know! Appreciate them getting me home and making it a good one. #ExecutivePlatinum,1
1232034490333179905,Mon Feb 24 20:08:07 +0000 2020,"(1 of 2) FURIOUS that @Americanair Lost my child's bag after making her gate check it.  Bag has important emotional support items in it and the only answer I get is ""Sorry, it was scanned on plane BUT we cant locate it""  Was also told.... #ShameonAmericanairlines",0
1232033813578047489,Mon Feb 24 20:05:25 +0000 2020,"#AmericanAirlines attendant lying stating 60,000 miles is equivalent to 3 round trip tickets around the world. Generally, one way ticket is roughly 15-20k miles for lowest tickets. Therefore, is max 2 round trip tickets if you’re lucky, but more likely 1.5. False advertisement.",0
1232032415528386561,Mon Feb 24 19:59:52 +0000 2020,"#WTFee! Demand @AmericanAir, @united @Delta put #SafetyOverProfits, seat children with parents at no additional cost. Sign @CRAdvocacy petition. https://t.co/lPE9kwJgbG",0
1232031851197403136,Mon Feb 24 19:57:38 +0000 2020,#americanairlines it’s like you think you are offering a free service - this flight crew is obnoxious on flight 763 to Pittsburgh - everyone acts so put out #dobetter,0
1232030886524178432,Mon Feb 24 19:53:48 +0000 2020,This is awful - telling parents of kids under 5 that it's ok for them to sit alone? Come on @delta &amp; @americanair there must be a reasonable fix to this 'Kids should sit with their parents': Petition urges airlines to seat families together for free https://t.co/FMfudLvybW,0
1232030312739176454,Mon Feb 24 19:51:31 +0000 2020,"#WTFee! Demand @AmericanAir, @united @Delta put #SafetyOverProfits, seat children with parents at no additional cost. Sign @CRAdvocacy petition. https://t.co/neGeWBS1u0",0
