id,datetime,text,retweets
1.23206E+18,2/24/2020 21:52,#americanairlines. At gate 38 at dca for flight 1693. VERY rude gate agent.  Asked when flight making up this flight would arrive since it is not here and we are supposed to board in 20 minutes. She walked away!  Great customer service NOT,0
1.23206E+18,2/24/2020 21:51,Just had the worst customer experience with @AmericanAir who wrongfully tried to charge us $$$$ after they canceled our flight. Ironically I received substantially better service - and a better deal through a budget carrier. Will never book @AmericanAir again!,0
1.23206E+18,2/24/2020 21:47,10/10 do NOT recommend @AmericanAir!!!!! Thank you for making my first booking/flight a living hell.,0
1.23206E+18,2/24/2020 21:47,Nothing like walking through the airport with damaged luggage. Thanks a lot @AmericanAir https://t.co/YvRPhs41hh,0
1.23206E+18,2/24/2020 21:43,"Srsly, @AmericanAir? Denying the flight change request of an 18 yo female passenger, expressing sincere fear re: flying to &amp; SPENDING A WEEK ALONE IN an unfamilair city across the country, bc your policy says “‘nothing’ can be done.” Something can ALWAYS be done. Shame on you!",0
1.23206E+18,2/24/2020 21:40,"Children 13 or under should sit with their #families while flying, and families shouldn't be charged extra fees to do so. Sign this #petition from @ConsumerReports and tell @AmericanAir, @Delta, and @United Airlines that enough is enough! https://t.co/NJYokoowSA",0
1.23206E+18,2/24/2020 21:39,Hey @garyleff ever call @AmericanAir and ask to be put through to the survey after a lousy experience?  I have gotten transferred to an endless hold queue of “sales” everytime.  Good way to skew their metrics,0
1.23206E+18,2/24/2020 21:33,The Two @AmericanAir airlines! the regular and American Eagle #planespotting https://t.co/OKuSPlTkqv,0
1.23206E+18,2/24/2020 21:31,*movement* @AmericanAir will use the B787-9 on the @manairport to @PHLAirport tomorrow. First visit of a - 9 varient for American #manchester #Philadelphia #american #boeing,6
1.23205E+18,2/24/2020 21:29,"#americanairlines .after today I promise I will never fly will your airline again. You treat customers with disrespect, your staff hate their job and your aircraft are old and dirty.",0
1.23205E+18,2/24/2020 21:27,"Flight to San Antonio today.   Paid extra for exit row w/ more leg room.  Picked clearly on the seating chart. Unfortunately got no exit row, no extra leg room, no window and seat wouldn’t go back.  But charged an additional $38 per seat for it. @AmericanAir. We did get in early",0
1.23205E+18,2/24/2020 21:25,"American Airlines (@AmericanAir) and Gol, Brazil’s largest airline, recently announced a new reciprocal codeshare agreement, giving customers access to 20 new destinations in South America.",0
1.23205E+18,2/24/2020 21:20,Why is is that my friend and I were just talking about how great it is that we can convert our @HiltonHotels points to @AmericanAir points and now the very next day American Airlines wants to ruin my life and take it away. I’m pissed!!!!,1
1.23205E+18,2/24/2020 21:19,"Clowns
I guess I shouldn’t of wore my #maga hat or #Trump shirt. She was very disrespectful to us. Shame on her. I can only imagine how she treats other that fly with your airlines.
.@AmericanAir I booked a flight to Washington DC from LAX this morning got to the gate 53A 1",0
1.23205E+18,2/24/2020 21:18,Yo if anyone has any @AmericanAir miles they don’t want or are going to use help a sister out. We broke after student loans,0
1.23205E+18,2/24/2020 21:09,"#WTFee! Demand @AmericanAir, @united @Delta put #SafetyOverProfits, seat children with parents at no additional cost. Sign @CRAdvocacy petition. https://t.co/2y8yXaJLD9",0
1.23205E+18,2/24/2020 21:05,"been sitting on an @AmericanAir flight for awhile, crew is contemplating if it’s safe to fly because there was a ‘previous lightning strike to the right wing’ &amp; there is a chip in the wing. intercom said ‘their guess is it’s more than likely safe’ 😂&amp; missing our connection... 👀",2
1.23205E+18,2/24/2020 21:02,"Of course @AmericanAir , it could be that your customer service satisfaction levels are so low that these hotels are not willing to sacrifice their reputations ...on yours!
@RealJamesWoods @realDonaldTrump @marklevinshow @greggutfeld @ASavageNation @rushlimbaugh @TuckerCarlson https://t.co/1zqK6dp2vy",0
1.23205E+18,2/24/2020 21:00,"If you’re wondering what happened to your grandma’s tv, @AmericanAir still has them hanging from the ceiling. https://t.co/zxgGTA36oz",0
1.23205E+18,2/24/2020 20:59,Another new cost cutting effort on @AmericanAir’s part: reminding passengers that the free headsets can be re-used on future flights. They’re right but the tone wasn’t fantastic.,0
1.23205E+18,2/24/2020 20:58,"If I wasn't out of breathe from running, I may have kicked something. You really are horrible at guest relations @AmericanAir. Really could of used @BarstoolBigCat on this one today. https://t.co/J0D2nv7cmb",0
1.23205E+18,2/24/2020 20:55,it’s 3pm. @AmericanAir https://t.co/mfSAbOGdwv,0
1.23205E+18,2/24/2020 20:53,"#aa1853 delays, mechanical issues, on a 4 year old Airbus @AmericanAir",0
1.23205E+18,2/24/2020 20:53,Will never fly @AmericanAir again. Our flight have been delayed 3 times...they booked us an impossible connection. We ran to the gate only to have the door shut on us. Now stuck in NC for 5hrs...,1
1.23205E+18,2/24/2020 20:52,"Press Release: American Airlines Announces Additional Service from the Monterey Regional Airport to Dallas-Fort Worth #MRY #pressrelease 

@AmericanAir
@DFWAirport",0
1.23205E+18,2/24/2020 20:52,"🚨Sign our petition to @AmericanAir, @Delta, and @united: Kids should sit with their parents! #SafetyOverProfits #WTFee https://t.co/H11DTlXFl9",4
1.23205E+18,2/24/2020 20:51,"We just landed in Philly and our @AmericanAir Flight Attendant said the weather is “60 degrees Celsius”.

WHAT THE HELL DID I MISS WHILE IN THE AIR? https://t.co/FVy6SKWeUc",2
1.23204E+18,2/24/2020 20:47,"This is the last time I will EVER fly with @AmericanAir 

I will walk before they ever get another dime from me",0
1.23204E+18,2/24/2020 20:46,"If we land on time, we’ll have 27min to get off the plane and on the shuttle from the regional terminal to Terminal 4 at LAX for our connecting flight 🤦🏽‍♀️ @AmericanAir is setting us up for straight failure.",0
1.23204E+18,2/24/2020 20:42,"""The Open Skies agreement between the U.S. and Canada was a landmark treaty” - @AmericanAir director @sippean on treaty signed 25 years ago today. From @Westernaviatio1 #aviation #avgeek 

The story : https://t.co/8x2iK3nHev https://t.co/GIArZmvwvz",0
1.23204E+18,2/24/2020 20:39,"On Tuesday, @SiouxGatewayAir going to see an upgrade from @AmericanAir on the DFW route—an Embraer 175 instead of the typical ERJ. Looks like a one-time substitution. https://t.co/Xsiw9Rl575",0
1.23204E+18,2/24/2020 20:37,"Captain Brook Hammond is one of the reasons I fly with @AmericanAir. He is true class. A former USAF pilot, he personally greeted passengers upon boarding (our group with a business card@to reach him directly), and shaking hands with every passenger at disembarkation! Great guy!",0
1.23204E+18,2/24/2020 20:33,"After 'incredible' response, @AmericanAir adds more flying from DFW to small California city https://t.co/QNcZDqIlZI via @DallasBizNews @montereyairport $AAL",2
1.23204E+18,2/24/2020 20:25,"Hey @AlaskaAir, with the great news coming from the announcement with @AmericanAir, I'm curious if the Alaska miles earned on American will count toward Alaska's Million Miler status?",0
1.23204E+18,2/24/2020 20:23,"Been a week now @AmericanAir Amazing that NO ONE that monitors this page has even acknowledged my tweets, they seriously DO NOT CARE about customer service. They have literally stolen $132 from me. https://t.co/oGSBytwqKp",0
1.23204E+18,2/24/2020 20:22,#AlaskaAirlines #Boeing737900ER departing @FLLFlyer last week to #LosAngeles #LAX! Route will soon be removed by #Alaska as they are expanding their partnership with #AmericanAirlines and are to join @traveloneworld N413AS (FIN 413) (7.0 yrs) https://t.co/Yu9DUFaY3b,0
1.23204E+18,2/24/2020 20:21,"Grossly disappointed with the air travel portion of my trip to Berlin. First delayed out of DCA to MIA on @AmericanAir, missing connections and extremely delayed baggage. Now on a delayed @British_Airways flight to Chicago and going to miss our connection home. Extreme lack of CS",1
1.23204E+18,2/24/2020 20:18,"#WTFee! Demand @AmericanAir, @united @Delta put #SafetyOverProfits, seat children with parents at no additional cost. Sign @CRAdvocacy petition. https://t.co/AxAetB9fQC",0
1.23204E+18,2/24/2020 20:16,Made the earlier flight. Even best out a CK to get a seat. Just didn’t realize it would be last row on an Oasis config. Winning? 🤷‍♂️ #viewfromthewing #executiveplatinum @AmericanAir https://t.co/NfbOAdRQ7X,0
1.23204E+18,2/24/2020 20:15,"Terrible flight
Please contact me @AmericanAir",0
1.23204E+18,2/24/2020 20:11,(2 of 2) I was told by @Americanair There is no way to communicate with the baggage office at airport!  I explained urgency w/medication and support items but no one seems to care!  American airlines shame on you...#DoBetter HELP FIND BAG! #CustomerService,0
1.23204E+18,2/24/2020 20:10,Hey @AmericanAir! The FA crew in coach for AA729 Heathrow to PHL really took care of me! My BA flight was delayed and I was rebooked on AA coach economy so I could get home! Let the bosses know! Appreciate them getting me home and making it a good one. #ExecutivePlatinum,1
