Time,Price
1/9/2020 9:00,27.99642105
1/9/2020 10:00,27.995
1/9/2020 11:00,27.986
1/9/2020 12:00,27.977
1/9/2020 13:00,27.81
1/9/2020 14:00,27.921
1/9/2020 15:00,27.949
1/9/2020 16:00,27.91947368
1/9/2020 17:00,27.88994737
1/9/2020 18:00,27.86042105
1/9/2020 19:00,27.83089474
1/9/2020 20:00,27.80136842
1/9/2020 21:00,27.77184211
1/9/2020 22:00,27.74231579
1/9/2020 23:00,27.71278947
1/10/2020 0:00,27.68326316
1/10/2020 1:00,27.65373684
1/10/2020 2:00,27.62421053
1/10/2020 3:00,27.59468421
1/10/2020 4:00,27.56515789
1/10/2020 5:00,27.53563158
1/10/2020 6:00,27.50610526
1/10/2020 7:00,27.47657895
1/10/2020 8:00,27.44705263
1/10/2020 9:00,27.41752632
1/10/2020 10:00,27.388
1/10/2020 11:00,27.555
1/10/2020 12:00,27.485
1/10/2020 13:00,27.415
1/10/2020 14:00,27.42
1/10/2020 15:00,27.41717647
1/10/2020 16:00,27.41435294
1/10/2020 17:00,27.41152941
1/10/2020 18:00,27.40870588
1/10/2020 19:00,27.40588235
1/10/2020 20:00,27.40305882
1/10/2020 21:00,27.40023529
1/10/2020 22:00,27.39741176
1/10/2020 23:00,27.39458824
1/11/2020 0:00,27.39176471
1/11/2020 1:00,27.38894118
1/11/2020 2:00,27.38611765
1/11/2020 3:00,27.38329412
1/11/2020 4:00,27.38047059
1/11/2020 5:00,27.37764706
1/11/2020 6:00,27.37482353
1/11/2020 7:00,27.372
1/11/2020 8:00,27.36917647
1/11/2020 9:00,27.36635294
1/11/2020 10:00,27.36352941
1/11/2020 11:00,27.36070588
1/11/2020 12:00,27.35788235
1/11/2020 13:00,27.35505882
1/11/2020 14:00,27.35223529
1/11/2020 15:00,27.34941176
1/11/2020 16:00,27.34658824
1/11/2020 17:00,27.34376471
1/11/2020 18:00,27.34094118
1/11/2020 19:00,27.33811765
1/11/2020 20:00,27.33529412
1/11/2020 21:00,27.33247059
1/11/2020 22:00,27.32964706
1/11/2020 23:00,27.32682353
1/12/2020 0:00,27.324
1/12/2020 1:00,27.32117647
1/12/2020 2:00,27.31835294
1/12/2020 3:00,27.31552941
1/12/2020 4:00,27.31270588
1/12/2020 5:00,27.30988235
1/12/2020 6:00,27.30705882
1/12/2020 7:00,27.30423529
1/12/2020 8:00,27.30141176
1/12/2020 9:00,27.29858824
1/12/2020 10:00,27.29576471
1/12/2020 11:00,27.29294118
1/12/2020 12:00,27.29011765
1/12/2020 13:00,27.28729412
1/12/2020 14:00,27.28447059
1/12/2020 15:00,27.28164706
1/12/2020 16:00,27.27882353
1/12/2020 17:00,27.276
1/12/2020 18:00,27.27317647
1/12/2020 19:00,27.27035294
1/12/2020 20:00,27.26752941
1/12/2020 21:00,27.26470588
1/12/2020 22:00,27.26188235
1/12/2020 23:00,27.25905882
1/13/2020 0:00,27.25623529
1/13/2020 1:00,27.25341176
1/13/2020 2:00,27.25058824
1/13/2020 3:00,27.24776471
1/13/2020 4:00,27.24494118
1/13/2020 5:00,27.24211765
1/13/2020 6:00,27.23929412
1/13/2020 7:00,27.23647059
1/13/2020 8:00,27.23364706
1/13/2020 9:00,27.23082353
1/13/2020 10:00,27.228
1/13/2020 11:00,27.418
1/13/2020 12:00,27.3405
1/13/2020 13:00,27.263
1/13/2020 14:00,27.235
1/13/2020 15:00,27.345
1/13/2020 16:00,27.39889474
1/13/2020 17:00,27.45278947
1/13/2020 18:00,27.50668421
1/13/2020 19:00,27.56057895
1/13/2020 20:00,27.61447368
1/13/2020 21:00,27.66836842
1/13/2020 22:00,27.72226316
1/13/2020 23:00,27.77615789
1/14/2020 0:00,27.83005263
1/14/2020 1:00,27.88394737
1/14/2020 2:00,27.93784211
1/14/2020 3:00,27.99173684
1/14/2020 4:00,28.04563158
1/14/2020 5:00,28.09952632
1/14/2020 6:00,28.15342105
1/14/2020 7:00,28.20731579
1/14/2020 8:00,28.26121053
1/14/2020 9:00,28.31510526
1/14/2020 10:00,28.369
1/14/2020 11:00,27.865
1/14/2020 12:00,27.778
1/14/2020 13:00,27.645
1/14/2020 14:00,27.53
1/14/2020 15:00,27.585
1/14/2020 16:00,27.59505263
1/14/2020 17:00,27.60510526
1/14/2020 18:00,27.61515789
1/14/2020 19:00,27.62521053
1/14/2020 20:00,27.63526316
1/14/2020 21:00,27.64531579
1/14/2020 22:00,27.65536842
1/14/2020 23:00,27.66542105
1/15/2020 0:00,27.67547368
1/15/2020 1:00,27.68552632
1/15/2020 2:00,27.69557895
1/15/2020 3:00,27.70563158
1/15/2020 4:00,27.71568421
1/15/2020 5:00,27.72573684
1/15/2020 6:00,27.73578947
1/15/2020 7:00,27.74584211
1/15/2020 8:00,27.75589474
1/15/2020 9:00,27.76594737
1/15/2020 10:00,27.776
1/15/2020 11:00,27.974
1/15/2020 12:00,27.8615
1/15/2020 13:00,27.749
1/15/2020 14:00,27.565
1/15/2020 15:00,27.665
1/15/2020 16:00,27.67763158
1/15/2020 17:00,27.69026316
1/15/2020 18:00,27.70289474
1/15/2020 19:00,27.71552632
1/15/2020 20:00,27.72815789
1/15/2020 21:00,27.74078947
1/15/2020 22:00,27.75342105
1/15/2020 23:00,27.76605263
1/16/2020 0:00,27.77868421
1/16/2020 1:00,27.79131579
1/16/2020 2:00,27.80394737
1/16/2020 3:00,27.81657895
1/16/2020 4:00,27.82921053
1/16/2020 5:00,27.84184211
1/16/2020 6:00,27.85447368
1/16/2020 7:00,27.86710526
1/16/2020 8:00,27.87973684
1/16/2020 9:00,27.89236842
1/16/2020 10:00,27.905
1/16/2020 11:00,28.03
1/16/2020 12:00,27.952
1/16/2020 13:00,27.935
1/16/2020 14:00,28.115
1/16/2020 15:00,28.154
1/16/2020 16:00,28.15926316
1/16/2020 17:00,28.16452632
1/16/2020 18:00,28.16978947
1/16/2020 19:00,28.17505263
1/16/2020 20:00,28.18031579
1/16/2020 21:00,28.18557895
1/16/2020 22:00,28.19084211
1/16/2020 23:00,28.19610526
1/17/2020 0:00,28.20136842
1/17/2020 1:00,28.20663158
1/17/2020 2:00,28.21189474
1/17/2020 3:00,28.21715789
1/17/2020 4:00,28.22242105
1/17/2020 5:00,28.22768421
1/17/2020 6:00,28.23294737
1/17/2020 7:00,28.23821053
1/17/2020 8:00,28.24347368
1/17/2020 9:00,28.24873684
1/17/2020 10:00,28.254
1/17/2020 11:00,28.482
1/17/2020 12:00,28.3
1/17/2020 13:00,28.275
1/17/2020 14:00,28.26960215
1/17/2020 15:00,28.2642043
1/17/2020 16:00,28.25880645
1/17/2020 17:00,28.2534086
1/17/2020 18:00,28.24801075
1/17/2020 19:00,28.2426129
1/17/2020 20:00,28.23721505
1/17/2020 21:00,28.2318172
1/17/2020 22:00,28.22641935
1/17/2020 23:00,28.22102151
1/18/2020 0:00,28.21562366
1/18/2020 1:00,28.21022581
1/18/2020 2:00,28.20482796
1/18/2020 3:00,28.19943011
1/18/2020 4:00,28.19403226
1/18/2020 5:00,28.18863441
1/18/2020 6:00,28.18323656
1/18/2020 7:00,28.17783871
1/18/2020 8:00,28.17244086
1/18/2020 9:00,28.16704301
1/18/2020 10:00,28.16164516
1/18/2020 11:00,28.15624731
1/18/2020 12:00,28.15084946
1/18/2020 13:00,28.14545161
1/18/2020 14:00,28.14005376
1/18/2020 15:00,28.13465591
1/18/2020 16:00,28.12925806
1/18/2020 17:00,28.12386022
1/18/2020 18:00,28.11846237
1/18/2020 19:00,28.11306452
1/18/2020 20:00,28.10766667
1/18/2020 21:00,28.10226882
1/18/2020 22:00,28.09687097
1/18/2020 23:00,28.09147312
1/19/2020 0:00,28.08607527
1/19/2020 1:00,28.08067742
1/19/2020 2:00,28.07527957
1/19/2020 3:00,28.06988172
1/19/2020 4:00,28.06448387
1/19/2020 5:00,28.05908602
1/19/2020 6:00,28.05368817
1/19/2020 7:00,28.04829032
1/19/2020 8:00,28.04289247
1/19/2020 9:00,28.03749462
1/19/2020 10:00,28.03209677
1/19/2020 11:00,28.02669892
1/19/2020 12:00,28.02130108
1/19/2020 13:00,28.01590323
1/19/2020 14:00,28.01050538
1/19/2020 15:00,28.00510753
1/19/2020 16:00,27.99970968
1/19/2020 17:00,27.99431183
1/19/2020 18:00,27.98891398
1/19/2020 19:00,27.98351613
1/19/2020 20:00,27.97811828
1/19/2020 21:00,27.97272043
1/19/2020 22:00,27.96732258
1/19/2020 23:00,27.96192473
1/20/2020 0:00,27.95652688
1/20/2020 1:00,27.95112903
1/20/2020 2:00,27.94573118
1/20/2020 3:00,27.94033333
1/20/2020 4:00,27.93493548
1/20/2020 5:00,27.92953763
1/20/2020 6:00,27.92413978
1/20/2020 7:00,27.91874194
1/20/2020 8:00,27.91334409
1/20/2020 9:00,27.90794624
1/20/2020 10:00,27.90254839
1/20/2020 11:00,27.89715054
1/20/2020 12:00,27.89175269
1/20/2020 13:00,27.88635484
1/20/2020 14:00,27.88095699
1/20/2020 15:00,27.87555914
1/20/2020 16:00,27.87016129
1/20/2020 17:00,27.86476344
1/20/2020 18:00,27.85936559
1/20/2020 19:00,27.85396774
1/20/2020 20:00,27.84856989
1/20/2020 21:00,27.84317204
1/20/2020 22:00,27.83777419
1/20/2020 23:00,27.83237634
1/21/2020 0:00,27.82697849
1/21/2020 1:00,27.82158065
1/21/2020 2:00,27.8161828
